Nyckeltal,Region,År,Invånare
"Invånare  totalt, antal",Flen,2011,16063
"Invånare  totalt, antal",Flen,2012,16019
"Invånare  totalt, antal",Flen,2013,16156
"Invånare  totalt, antal",Flen,2014,16242
"Invånare  totalt, antal",Flen,2015,16440
"Invånare  totalt, antal",Flen,2016,16830
"Invånare  totalt, antal",Forshaga,2010,11266
"Invånare  totalt, antal",Forshaga,2011,11229
"Invånare  totalt, antal",Forshaga,2012,11311
"Invånare  totalt, antal",Forshaga,2013,11292
"Invånare  totalt, antal",Forshaga,2014,11379
"Invånare  totalt, antal",Forshaga,2015,11379
"Invånare  totalt, antal",Forshaga,2016,11451
"Invånare  totalt, antal",Färgelanda,2010,6654
"Invånare  totalt, antal",Färgelanda,2011,6606
"Invånare  totalt, antal",Färgelanda,2012,6549
"Invånare  totalt, antal",Färgelanda,2013,6520
"Invånare  totalt, antal",Färgelanda,2014,6502
"Invånare  totalt, antal",Färgelanda,2015,6495
"Invånare  totalt, antal",Färgelanda,2016,6627
"Invånare  totalt, antal",Gagnef,2010,10097
"Invånare  totalt, antal",Gagnef,2011,10069
"Invånare  totalt, antal",Gagnef,2012,10012
"Invånare  totalt, antal",Gagnef,2013,10023
"Invånare  totalt, antal",Gagnef,2014,10024
"Invånare  totalt, antal",Gagnef,2015,10079
"Invånare  totalt, antal",Gagnef,2016,10175
"Invånare  totalt, antal",Gislaved,2010,29111
"Invånare  totalt, antal",Gislaved,2011,28868
"Invånare  totalt, antal",Gislaved,2012,28732
"Invånare  totalt, antal",Gislaved,2013,28713
"Invånare  totalt, antal",Gislaved,2014,28737
"Invånare  totalt, antal",Gislaved,2015,29272
"Invånare  totalt, antal",Gislaved,2016,29478
"Invånare  totalt, antal",Gnesta,2010,10360
"Invånare  totalt, antal",Gnesta,2011,10345
"Invånare  totalt, antal",Gnesta,2012,10442
"Invånare  totalt, antal",Gnesta,2013,10409
"Invånare  totalt, antal",Gnesta,2014,10513
"Invånare  totalt, antal",Gnesta,2015,10649
"Invånare  totalt, antal",Gnesta,2016,10861
"Invånare  totalt, antal",Gnosjö,2010,9546
"Invånare  totalt, antal",Gnosjö,2011,9400
"Invånare  totalt, antal",Gnosjö,2012,9354
"Invånare  totalt, antal",Gnosjö,2013,9406
"Invånare  totalt, antal",Gnosjö,2014,9509
"Invånare  totalt, antal",Gnosjö,2015,9514
"Invånare  totalt, antal",Gnosjö,2016,9615
"Invånare  totalt, antal",Gotland,2010,57269
"Invånare  totalt, antal",Gotland,2011,57308
"Invånare  totalt, antal",Gotland,2012,57241
"Invånare  totalt, antal",Gotland,2013,57161
"Invånare  totalt, antal",Gotland,2014,57255
"Invånare  totalt, antal",Gotland,2015,57391
"Invånare  totalt, antal",Gotland,2016,58003
"Invånare  totalt, antal",Grums,2010,9091
"Invånare  totalt, antal",Grums,2011,9017
"Invånare  totalt, antal",Grums,2012,8939
"Invånare  totalt, antal",Grums,2013,8925
"Invånare  totalt, antal",Grums,2014,8958
"Invånare  totalt, antal",Grums,2015,8945
"Invånare  totalt, antal",Grums,2016,9063
"Invånare  totalt, antal",Grästorp,2010,5776
"Invånare  totalt, antal",Grästorp,2011,5674
"Invånare  totalt, antal",Grästorp,2012,5639
"Invånare  totalt, antal",Grästorp,2013,5641
"Invånare  totalt, antal",Grästorp,2014,5630
"Invånare  totalt, antal",Grästorp,2015,5644
"Invånare  totalt, antal",Grästorp,2016,5721
"Invånare  totalt, antal",Gullspång,2010,5291
