,crime,crime_id,period,period_id,periodicity,region,region_id,timepoint,value
142,"Stöld-, rån- och häleribrott, Stöld och snatteri, I butik, varuhus, kommersiell utställningslokal",3415,"År, 2006",2106,yearly,Hela landet,8291,2006-01-01,56211
143,"Stöld-, rån- och häleribrott, Stöld och snatteri, I butik, varuhus, kommersiell utställningslokal",3415,"År, 2007",2072,yearly,Hela landet,8291,2007-01-01,58574
144,"Stöld-, rån- och häleribrott, Stöld och snatteri, I butik, varuhus, kommersiell utställningslokal",3415,"År, 2008",2107,yearly,Hela landet,8291,2008-01-01,63734
145,"Stöld-, rån- och häleribrott, Stöld och snatteri, I butik, varuhus, kommersiell utställningslokal",3415,"År, 2009",2109,yearly,Hela landet,8291,2009-01-01,69037
146,"Stöld-, rån- och häleribrott, Stöld och snatteri, I butik, varuhus, kommersiell utställningslokal",3415,"År, 2010",2073,yearly,Hela landet,8291,2010-01-01,64211
147,"Stöld-, rån- och häleribrott, Stöld och snatteri, I butik, varuhus, kommersiell utställningslokal",3415,"År, 2011",2108,yearly,Hela landet,8291,2011-01-01,62604
148,"Stöld-, rån- och häleribrott, Stöld och snatteri, I butik, varuhus, kommersiell utställningslokal",3415,"År, 2012",2074,yearly,Hela landet,8291,2012-01-01,60470
149,"Stöld-, rån- och häleribrott, Stöld och snatteri, I butik, varuhus, kommersiell utställningslokal",3415,"År, 2013",2110,yearly,Hela landet,8291,2013-01-01,48894
150,"Stöld-, rån- och häleribrott, Stöld och snatteri, I butik, varuhus, kommersiell utställningslokal",3415,"År, 2014",2111,yearly,Hela landet,8291,2014-01-01,48933
151,"Stöld-, rån- och häleribrott, Stöld och snatteri, I butik, varuhus, kommersiell utställningslokal",3415,"År, 2015",2486,yearly,Hela landet,8291,2015-01-01,50433
152,"Stöld-, rån- och häleribrott, Stöld och snatteri, I butik, varuhus, kommersiell utställningslokal",3415,"År, 2016 prel.",2526,yearly,Hela landet,8291,2016-01-01,48645
153,Skadegörelse (inkl. mordbrand),3151,"År, 2000",2081,yearly,Hela landet,8291,2000-01-01,125432
